group_id,word,part_of_speech,meaning_en,meaning_th,examples,synonyms,antonyms,word_forms,difficulty,frequency
3,Literacy,Noun,The ability to read and write.,การรู้หนังสือ,The program aims to improve adult literacy in rural areas.<br>Digital literacy is a vital skill in the modern world.<br>The government has launched a campaign to promote financial literacy., - , - , illiterate,intermediate,high
3,Literate,Adjective,Able to read and write.,ที่อ่านออกเขียนได้,He is a very literate person.<br>The population is now 99% literate.<br>Being digitally literate is essential in today's world., - , - , - , intermediate,high
5,Lithosphere,Noun,"The rigid outer part of the earth, consisting of the crust and upper mantle.","ธรณีภาค, เปลือกโลก",The lithosphere is where we live and grow our food.<br>Plate tectonics is a process that affects the lithosphere.<br>The study focuses on the structure of the lithosphere., - , - ,-,advanced,low
7,Lobby,Verb,To seek to influence a politician or public official on an issue.,"ล็อบบี้, ชักจูง",Environmental groups are lobbying the government for stronger laws.<br>The industry is lobbying against the new regulations.<br>She is lobbying for changes to the education system., - , - ,lobbyist, advanced,low
9,Malignant,Adjective,(Of a tumour) very virulent or infectious.,ร้ายแรง,The biopsy revealed a malignant tumour.<br>Malignant cells can spread to other parts of the body.<br>The patient received treatment for a malignant growth., - , - , - , advanced,low
9,Manage,Verb,To succeed in coping with or taking control of (something).,จัดการ,Diet and exercise can help patients manage their diabetes.<br>She learned to manage her chronic pain effectively.<br>Doctors help people manage their health conditions., - , - ,management, intermediate,high
7,Manufacture,Verb,To make something on a large scale using machinery.,"ผลิต, สร้าง",The company manufactures cars in several countries.<br>It costs less to manufacture the products abroad.<br>The factory manufactures a wide range of goods., - , - , - , intermediate,high
2,Market share,Phrase,The portion of a market controlled by a particular company or product.,ส่วนแบ่งการตลาด,The company is trying to increase its market share.<br>A new competitor is threatening our market share.<br>The firm has a dominant market share., - , - , - ,intermediate,medium
2,Marketing,Noun,The action or business of promoting and selling products or services.,การตลาด,The company's new marketing strategy is very effective.<br>She is studying marketing in university.<br>Digital marketing is a growing field., - , - , - ,intermediate,medium
3,Matriculate,Verb,To be enrolled at a college or university.,ลงทะเบียนเรียน,She matriculated at Harvard University last year.<br>He hopes to matriculate next fall.<br>Students must complete a series of courses to matriculate., - , - ,matriculation, intermediate,low
3,Matriculation,Noun,The action of enrolling at a college or university.,การลงทะเบียนเรียน,Matriculation at the university takes place in September.<br>He completed his matriculation papers.<br>The ceremony marks the beginning of their matriculation., - , - ,matriculate, intermediate,low
13,Megabyte,Noun,A unit of information equal to one million bytes.,เมกะไบต์,"The image file is 5 megabytes.<br>A megabyte is 1,024 kilobytes.<br>My internet plan gives me 100 megabytes of data.", - , - ,-,intermediate,high
3,Mentee,Noun,"A person who is advised, trained, or guided by a mentor.","ลูกศิษย์, ผู้ได้รับการแนะนำ",The mentor and his mentee worked on the project together.<br>She is a mentee in the new program.<br>The mentee learned a lot from her mentor's experience., - , - , mentorship,advanced,low
3,Mentorship,Noun,"The guidance provided by a mentor, especially an experienced person.","การให้คำปรึกษา, การให้คำแนะนำ",The program provides one-on-one mentorship for new teachers.<br>Good mentorship is crucial for professional development.<br>He benefited from his mentor's guidance and mentorship., - , - ,mentor,advanced,medium
2,Merchandise,Noun,Goods for sale.,สินค้า,The store has a wide variety of merchandise.<br>The new merchandise will be available next week.<br>She is in charge of managing the merchandise., - , - , - ,intermediate,medium
2,Merger,Noun,"A combination of two things, especially companies, into one.",การควบรวมกิจการ,The two rival companies announced a merger.<br>The merger is expected to create a more efficient firm.<br>The merger was a strategic move to increase market share., - , - , - ,intermediate,medium
9,Metabolism,Noun,The chemical processes that occur within a living organism in order to maintain life.,เมแทบอลิซึม,My metabolism is very slow in the morning.<br>Exercise helps to speed up your metabolism.<br>Eating breakfast boosts your metabolism., - , - ,metabolic, advanced,low
3,Metacognition,Noun,Awareness and understanding of one's own thought processes.,"อภิปัญญา, การรู้คิดของตนเอง",Metacognition is a key skill for effective learning.<br>The professor encouraged metacognition by asking students to reflect on their learning process.<br>This concept involves thinking about your thinking., - , - ,metacognitive, advanced,low
3,Metacognitive,Adjective,Relating to or based on metacognition.,เกี่ยวกับอภิปัญญา,The course encourages metacognitive strategies for learning.<br>She has a strong metacognitive awareness of her own thought process.<br>Metacognitive skills are crucial for effective self-learning., - , - ,metacognition, advanced,low
7,Methane,Noun,"A colorless, odorless flammable gas that is the main constituent of natural gas.",ก๊าซมีเทน,Methane is a potent greenhouse gas.<br>Methane is released from landfills and agricultural processes.<br>Scientists are studying ways to capture methane emissions., - , - ,-, advanced,low
3,Methodology,Noun,A system of methods used in a particular area of study or activity.,ระเบียบวิธี,The research methodology for the study was very rigorous.<br>The professor explained his teaching methodology.<br>The book describes a new methodology for language acquisition., - , - ,methodological, advanced,high
13,Microchip,Noun,"A very small piece of a semiconductor, typically silicon, on which a number of components are integrated.",ไมโครชิป,The microchip is the brain of the computer.<br>The new device contains a powerful microchip.<br>There is a global shortage of microchips., - , - ,-,intermediate,high
13,Microprocessor,Noun,An integrated circuit that contains all the functions of a central processing unit of a computer.,ไมโครโพรเซสเซอร์,The microprocessor is the heart of the computer.<br>The new microprocessor is faster and more efficient.<br>The company is a leading manufacturer of microprocessors., - , - ,-,advanced,low
9,Migraine,Noun,A recurrent throbbing headache that typically affects one side of the head and is often accompanied by nausea and disturbed vision.,ไมเกรน,She gets a severe migraine at least once a month.<br>Loud noises can trigger a migraine.<br>I need to lie down in a dark room when I have a migraine., - , - ,migrainous, intermediate,low
7,Migrant,Noun,"A person who moves from one place to another, especially in order to find work or better living conditions.",ผู้ย้ายถิ่นฐาน,Economic migrants are seeking better opportunities abroad.<br>The country has a large population of migrant workers.<br>The migrant crisis is a complex issue., - , - , - , intermediate,high
7,Migrate,Verb,"To move from one region or habitat to another, especially regularly.",อพยพ,Many birds migrate to warmer climates for the winter.<br>People are migrating to cities in search of jobs.<br>The population is migrating from rural to urban areas., - , - , - , intermediate,high
7,Militant,Adjective,Combative and aggressive in support of a political or social cause.,"นักรบ, ผู้ก่อความไม่สงบ",The government is fighting against militant groups.<br>Militant environmentalists blockaded the road.<br>He has a militant approach to politics., - , - , militancy, advanced,low
3,Mnemonic,Noun,"A device such as a pattern of letters, ideas, or associations that assists in remembering something.",ความทรงจำช่วย,"He used a mnemonic to remember the names of the planets.<br>A simple mnemonic device can make a big difference in studying.<br>The phrase ROY G. BIV"" is a mnemonic for the colors of the rainbow.""", - , - ,mnemonic, advanced,low
3,Modality,Noun,A particular mode in which something exists or is experienced or expressed.,"รูปแบบ, ลักษณะ","The class is offered in three modalities: online, in-person, and hybrid.<br>We need to consider the various modalities of learning.<br>The new system has multiple modalities for user input.", - , - ,modal, intermediate,medium
13,Modem,Noun,A device that converts digital signals from a computer into analog signals that can be transmitted over a telephone line.,โมเด็ม,I need to restart my modem to fix the internet connection.<br>The modem is connected to the router.<br>My modem is blinking red., - , - ,-,intermediate,low
3,Module,Noun,Each of a set of self-contained units that can be used in combination with other units.,"โมดูล, ส่วนประกอบ",The course is divided into four modules.<br>You need to complete all the modules to get the certificate.<br>The online training consists of several learning modules., - , - ,modular, intermediate,high
7,Monitor,Verb,To observe and check the progress of something over a period of time.,"เฝ้าติดตาม, ตรวจสอบ",Scientists are monitoring the melting of the polar ice caps.<br>We need to monitor the quality of the air in the city.<br>The charity monitors human rights abuses., - , - ,monitoring, advanced,high
3,Monograph,Noun,A detailed written study of a single specialized subject or an aspect of it.,"เอกสารวิจัย, บทความเฉพาะเรื่อง",He published a monograph on the history of education.<br>The library holds a rare monograph on the topic.<br>The research was presented in a detailed monograph., - , - ,-,advanced,low
3,Monolingual,Adjective,(of a person or society) speaking only one language.,ใช้ภาษาเดียว,Most people in the country are monolingual.<br>He is a monolingual speaker of English.<br>The study compares monolingual and bilingual children., - , - ,monolingualism, intermediate,low
3,Monolingualism,Noun,The use of only one language.,การใช้ภาษาเดียว,The program aims to move beyond monolingualism.<br>Monolingualism is becoming less common in a globalized world.<br>The study looked at the effects of monolingualism on cognitive development., - , - ,monolingual, intermediate,low
2,Monopoly,Noun,The exclusive possession or control of the supply of or trade in a commodity or service.,การผูกขาด,The company has a virtual monopoly on the market.<br>Government regulations are in place to prevent monopolies.<br>The state-owned company holds a monopoly on public transport., - , - , - ,intermediate,medium
9,Mortality,Noun,The state of being subject to death; the number of deaths in a given area or period.,อัตราการตาย,The mortality rate for the disease has decreased significantly.<br>Infant mortality is a key indicator of a country's health.<br>The pandemic caused a high level of mortality., - , - , - , advanced,high
3,Multidisciplinary,Adjective,Combining or involving several academic disciplines or professional specializations in an approach to a topic or problem.,หลากหลายสาขาวิชา,The research is a multidisciplinary study of art and science.<br>The team took a multidisciplinary approach to the problem.<br>The conference focused on multidisciplinary topics., - , - ,-,advanced,medium
3,Multilingualism,Noun,The use of more than one language.,ความสามารถหลายภาษา,The school promotes multilingualism and cultural understanding.<br>Her multilingualism is an asset in her job.<br>Multilingualism is common in many parts of the world., - , - ,multilingual, advanced,low
13,Nanotechnology,Noun,The branch of technology that deals with dimensions and tolerances of less than 100 nanometers.,นาโนเทคโนโลยี,Nanotechnology has applications in medicine and engineering.<br>He is a researcher in the field of nanotechnology.<br>The product uses nanotechnology to create a durable surface., - , - ,nanotechnological, advanced,low
5,Natural resource,Phrase,"Materials or substances such as minerals, forests, water, and fertile land that occur in nature and can be used for economic gain.",ทรัพยากรธรรมชาติ,The country is rich in natural resources.<br>The exploitation of natural resources is a major issue.<br>We need to manage our natural resources sustainably., - , - ,-,intermediate,high
13,Network,Noun,A group or system of interconnected people or things.,เครือข่าย,The company's computer network is very secure.<br>He is a part of a large professional network.<br>The new policy will affect the entire network., - , - , - ,intermediate,high
9,Neurology,Noun,"The branch of medicine or science that deals with the anatomy, functions, and organic disorders of nerves and the nervous system.",ประสาทวิทยา,The patient was referred to a neurology specialist for her symptoms.<br>Neurology is a very complex field.<br>New research in neurology is changing how we treat diseases., - , - , neurological, advanced,low
5,Non-renewable,Adjective,(of a natural resource or source of energy) existing in finite quantity; not capable of being replenished.,ที่ไม่สามารถนำกลับมาใช้ใหม่ได้,Fossil fuels are a major non-renewable resource.<br>We are using up our non-renewable resources too quickly.<br>The country is dependent on non-renewable energy., - , - , - , intermediate,high
9,Nutrient,Noun,A substance that provides nourishment essential for the maintenance of life and for growth.,สารอาหาร,The soil is rich in essential nutrients.<br>This food provides all the necessary nutrients.<br>Eating a variety of foods ensures you get all the nutrients you need., - , - ,nutritious, intermediate,high
9,Nutrient-dense,Adjective,(Of food) having a high proportion of nutrients compared to the number of calories.,หนาแน่นด้วยสารอาหาร,Leafy greens are a great example of nutrient-dense food.<br>She tries to choose nutrient-dense foods for her diet.<br>Eating nutrient-dense meals can help with weight management., - , - , nutrition, advanced,low
9,Nutrition,Noun,The process of providing or obtaining the food necessary for health and growth.,โภชนาการ,Good nutrition is essential for a healthy life.<br>She is studying nutrition at university.<br>A balanced diet provides proper nutrition., - , - , - , intermediate,high
9,Obesity,Noun,The condition of being grossly fat or overweight.,โรคอ้วน,Obesity is a major risk factor for heart disease.<br>Rates of childhood obesity have risen dramatically.<br>A balanced diet and exercise can combat obesity., - , - , - , advanced,high
9,Oncology,Noun,The study and treatment of tumors and cancer.,มะเร็งวิทยา,The patient is being treated in the oncology department.<br>Advances in oncology have improved survival rates.<br>Oncology is a difficult but rewarding specialization., - , - ,oncologist, advanced,low
13,Open source,Phrase,(of software) denoting software for which the original source code is made freely available and may be modified.,โอเพนซอร์ส,Linux is a well-known example of open source software.<br>The company released its new technology as open source.<br>Open source projects rely on community collaboration., - , - ,-,advanced,medium
5,Organic,Adjective,Relating to or derived from living matter.,ที่มาจากสิ่งมีชีวิต,We should choose organic food to avoid pesticides.<br>The farm uses organic fertilizers.<br>The store sells only organic products., - , - ,inorganic, advanced,high
2,Outsource,Verb,To obtain (goods or a service) from an outside or foreign supplier.,จ้างบุคคลภายนอก,Many companies outsource their IT services to save money.<br>They decided to outsource their manufacturing to another country.<br>Outsourcing can lead to job losses in the home country., - , - , - ,intermediate,medium
7,Overcome,Verb,To succeed in dealing with (a problem or difficulty).,เอาชนะ,We must overcome the challenge of global poverty.<br>He had to overcome many obstacles to succeed.<br>The country is working to overcome its economic problems., - , - , - , intermediate,high
2,Overhead,Noun,"The costs of running a business, such as rent and electricity.",ค่าใช้จ่ายในการดำเนินงาน,The company is trying to reduce its overhead costs.<br>High overhead can make it difficult to be profitable.<br>He calculated the overhead for the new project., - , - , - ,intermediate,medium
7,Overpopulation,Noun,The condition of being populated with excessively large numbers.,ประชากรล้น,Overpopulation is a major concern for the planet's resources.<br>Overpopulation can lead to food and water shortages.<br>The report on overpopulation highlights the need for family planning., - , - ,overpopulate, advanced,low
5,Ozone,Noun,A colorless unstable toxic gas with a pungent smell and powerful oxidizing properties.,โอโซน,The ozone layer protects the Earth from harmful radiation.<br>Ground-level ozone is a major air pollutant.<br>The chemical reaction produced ozone., - , - ,-,advanced,low
5,Ozone layer,Phrase,A layer in the Earth's stratosphere at an altitude of about 10 km (6 miles) containing a high concentration of ozone.,ชั้นโอโซน,The ozone layer protects us from the sun's harmful UV radiation.<br>Scientists are concerned about the depletion of the ozone layer.<br>The use of certain chemicals has damaged the ozone layer., - , - ,-,intermediate,high
9,Palliative care,Noun,Medical care for people with serious illness. It's focused on providing relief from the symptoms and stress of the illness.,การดูแลแบบประคับประคอง,"The hospice provides palliative care for terminally ill patients.<br>Palliative care aims to improve the quality of life for both the patient and their family.<br>She works in palliative care, helping patients manage pain.", - , - ,palliative, advanced,low
3,Paradigm,Noun,A typical example or pattern of something; a model.,กระบวนทัศน์,The new theory is a paradigm shift in education.<br>The internet has created a new paradigm for communication.<br>His work offers a new paradigm for understanding the issue., - , - ,paradigmatic, advanced,high
9,Pathogen,Noun,"A bacterium, virus, or other microorganism that can cause disease.",เชื้อโรค,The body's white blood cells fight off pathogens.<br>Handwashing is one of the best ways to prevent the spread of pathogens.<br>The scientist is studying a new type of pathogen., - , - ,pathogenic, advanced,low
3,Pedagogical,Adjective,Relating to teaching.,เกี่ยวกับวิธีสอน,His pedagogical approach is very innovative.<br>The teacher's pedagogical skills are excellent.<br>The conference focused on pedagogical theories., - , - ,pedagogy, advanced,medium
3,Pedagogue,Noun,"A teacher, especially a strict or pedantic one.","นักการศึกษา, ครู",He is a respected pedagogue and a great writer.<br>The old pedagogue was known for his rigorous methods.<br>The conference brought together many renowned pedagogues., - , - , pedagogical,advanced,low
3,Pedagogy,Noun,The method and practice of teaching.,"ศาสตร์การสอน, การสอน",The workshop focused on modern pedagogy and teaching techniques.<br>Effective pedagogy is crucial for student engagement.<br>Teachers are always seeking to improve their pedagogy., - , - , pedagogically,advanced,medium
3,Pedantic,Adjective,Relating to or being a person who is excessively concerned with minor details and rules.,"จู้จี้จุกจิก, พิถีพิถัน",His teaching style is very pedantic and rigid.<br>She was criticized for her pedantic attention to detail.<br>The professor was pedantic about grammar., - , - ,pedantry, advanced,low
9,Pediatrics,Noun,The branch of medicine dealing with children and their diseases.,กุมารเวชศาสตร์,She is studying to be a doctor specializing in pediatrics.<br>The hospital has a special wing for pediatrics.<br>Pediatrics is a very important field for public health., - , - ,pediatrician, advanced,low
3,Peer review,Phrase,"Evaluation of a person's work or performance by a group of people in the same occupation, profession, or industry.",การทบทวนโดยเพื่อน,The students presented their projects for peer review.<br>Peer review is a crucial part of academic publishing.<br>The system allows for anonymous peer review., - , - ,-,advanced,medium
5,Permafrost,Noun,A thick subsurface layer of soil that remains frozen throughout the year.,ชั้นดินเยือกแข็งคงตัว,The melting of permafrost is releasing methane gas.<br>The construction was difficult due to the permafrost.<br>Permafrost is found in the Arctic regions., - , - ,-,advanced,low
7,Pesticide,Noun,A substance used for destroying insects or other organisms harmful to cultivated plants or animals.,ยาฆ่าแมลง,The use of pesticides can harm the environment.<br>Many farmers are trying to reduce their reliance on pesticides.<br>Organic farming avoids the use of synthetic pesticides., - , - ,-, advanced,low
9,Pharmaceutical,Adjective,"Relating to medicinal drugs, their preparation, use, or sale.",เกี่ยวกับเภสัชกรรม,She works for a large pharmaceutical company.<br>The government regulates the pharmaceutical industry closely.<br>The new drug is still in the pharmaceutical research phase., - , - , pharmacy, advanced,low
9,Pharmacology,Noun,"The branch of medicine concerned with the uses, effects, and modes of action of drugs.",เภสัชวิทยา,Pharmacology is a critical subject for those in the medical field.<br>New discoveries in pharmacology are changing how we treat diseases.<br>The lab is focused on research in pharmacology., - , - ,pharmacologist, advanced,low
7,Philanthropist,Noun,"A person who seeks to promote the welfare of others, especially by the generous donation of money to good causes.",ผู้ใจบุญ,The philanthropist donated millions to charity.<br>He is a well-known philanthropist.<br>The museum was built with the help of a local philanthropist., - , - , philanthropic, advanced,low
5,Photosynthesis,Noun,The process by which green plants and some other organisms use sunlight to synthesize foods from carbon dioxide and water.,การสังเคราะห์แสง,Photosynthesis is a vital process for all life on Earth.<br>The plant uses photosynthesis to create its own food.<br>The lab experiment demonstrated photosynthesis., - , - ,photosynthetic, advanced,low
9,Physiology,Noun,The way in which a living organism or bodily part functions.,สรีรวิทยา,He is studying the physiology of the human brain.<br>The book explains the basic principles of plant physiology.<br>Understanding physiology is key to understanding health., - , - ,physiological, advanced,low
9,Physiotherapy,Noun,"The treatment of disease, injury, or deformity by physical methods such as massage, heat treatment, and exercise.",กายภาพบำบัด,"After the accident, he had to go to physiotherapy.<br>The therapist recommended physiotherapy for her knee injury.<br>Physiotherapy can help restore movement and function.", - , - ,physiotherapist, advanced,high
13,Pixel,Noun,"A minute area of illumination on a display screen, one of many from which an image is composed.",พิกเซล,The image is 1080 pixels wide.<br>The new screen has a very high pixel density.<br>You can see the individual pixels if you look closely., - , - ,-,intermediate,high
9,Placebo,Noun,"A harmless pill, medicine, or procedure prescribed more for the psychological benefit to the patient than for any physiological effect.",ยาหลอก,The new drug was tested against a placebo.<br>The patient showed improvement even with the placebo.<br>The placebo effect is a powerful phenomenon., - , - ,-,advanced,low
3,Plagiarism,Noun,The practice of taking someone else's work or ideas and passing them off as one's own.,"การคัดลอกผลงาน, การลอกเลียนแบบ",Plagiarism is a serious academic offense.<br>The university has a strict policy against plagiarism.<br>He was accused of plagiarism in his essay., - , - , - ,intermediate,high
13,Platform,Noun,A system that supports the operation of a particular application or set of applications.,แพลตฟอร์ม,The new app is available on multiple platforms.<br>The company is building a new social media platform.<br>The software is compatible with both platforms., - , - ,-,intermediate,high
5,Pollutant,Noun,"A substance that pollutes something, especially water or the atmosphere.",สารมลพิษ,The river is full of pollutants from the factory.<br>The report identifies a list of major pollutants.<br>We need to reduce the amount of pollutants in the air., - , - , - ,intermediate,high
7,Pollute,Verb,"To contaminate (water, the air, etc.) with harmful or poisonous substances.",ก่อมลพิษ,Factories continue to pollute the air and water.<br>We must stop polluting our rivers and oceans.<br>Careless disposal of waste pollutes the land., - , - , - , intermediate,high
7,Polluter,Noun,A person or organization that pollutes the environment.,ผู้ก่อมลพิษ,The government is imposing fines on major polluters.<br>The factory was identified as a major polluter.<br>We need to hold the biggest polluters accountable., - , - , pollution, advanced,low
3,Portfolio,Noun,A range of work or materials that represents a person's capabilities and achievements.,แฟ้มสะสมผลงาน,The art student created a portfolio of her best work.<br>He submitted his portfolio for the job application.<br>A digital portfolio can showcase your skills., - , - ,-,intermediate,medium
7,Poverty,Noun,The state of being extremely poor.,ความยากจน,Global poverty is a persistent and complex challenge.<br>The charity is working to end poverty in developing nations.<br>Education is often seen as a key to escaping poverty., - , - , - , advanced,high
7,Poverty line,Phrase,The estimated minimum level of income needed to secure the necessities of life.,เส้นแบ่งความยากจน,Millions of people live below the poverty line.<br>The government has increased the poverty line.<br>Raising the poverty line can change the demographics of poverty., - , - ,-, advanced,high
7,Poverty trap,Phrase,A self-reinforcing mechanism that causes poverty to persist.,กับดักความยากจน,The poverty trap makes it difficult for people to escape destitution.<br>Lack of education and healthcare can create a poverty trap.<br>The program is designed to break the poverty trap., - , - ,-, advanced,low
3,Pragmatic,Adjective,Dealing with things sensibly and realistically in a way that is based on practical rather than theoretical considerations.,ในทางปฏิบัติ,He takes a pragmatic approach to education.<br>The solution was a pragmatic one.<br>We need to be pragmatic about the situation., - , - , - , intermediate,high
5,Precipitation,Noun,"Rain, snow, sleet, or hail that falls to the ground.",หยาดน้ำฟ้า,The region receives very little precipitation.<br>The forecast calls for a high amount of precipitation.<br>The drought was caused by a lack of precipitation., - , - ,precipitate, advanced,high
3,Prerequisite,Noun,A thing that is required as a prior condition for something else to happen or exist.,สิ่งจำเป็นเบื้องต้น,A good understanding of math is a prerequisite for this course.<br>Passing the first exam is a prerequisite for the next level.<br>What are the prerequisites for the program?, - , - ,prerequisite, intermediate,high
9,Prescribe,Verb,To authorize the use of (a medicine or other treatment) for someone.,"สั่งยา, กำหนดให้",The doctor prescribed antibiotics for her infection.<br>He was prescribed physical therapy for his knee.<br>Doctors can only prescribe certain medications., - , - ,prescription, intermediate,high
9,Prevent,Verb,To stop (something) from happening or arising.,ป้องกัน,Eating healthy foods can help prevent many diseases.<br>Vaccines are used to prevent infectious diseases.<br>Washing your hands is a simple way to prevent the spread of germs., - , - , preventive, intermediate,high
5,Pristine,Adjective,In its original condition; unspoiled.,"บริสุทธิ์, ดั้งเดิม",The lake is known for its pristine waters.<br>The remote island has a pristine beach.<br>We must protect this pristine environment., - , - ,pristinely, advanced,medium
7,Privatise,Verb,"To transfer a business, industry, or service from public to private ownership and control.",แปรรูปเป็นเอกชน,Critics argue that privatising public services can lead to inequality.<br>The government plans to privatise the national railway company.<br>Privatising the healthcare system is a controversial topic., - , - ,privatisation, advanced,low
3,Proactive,Adjective,(of a person or action) creating or controlling a situation by causing something to happen rather than just responding to it after it has happened.,เชิงรุก,A proactive teacher anticipates students' needs.<br>He is very proactive in his work.<br>We need to take a proactive stance on the issue., - , - ,proactively, intermediate,medium
13,Processor,Noun,A component in a computer system that executes instructions.,หน่วยประมวลผลกลาง,The new laptop has a very fast processor.<br>The processor is the main part of the computer.<br>A faster processor can improve your computer's performance., - , - , - ,intermediate,high
2,Productivity,Noun,The state or quality of being productive.,ประสิทธิภาพการผลิต,The new technology has increased productivity in the factory.<br>Employees' productivity can be affected by their working conditions.<br>We need to improve our team's productivity., - , - , - ,intermediate,medium
2,Profit,Noun,A financial gain.,กำไร,The company's profits have increased by 15% this quarter.<br>He started a business with the goal of making a profit.<br>The business operates on a non-profit basis., - , - , - ,intermediate,medium
2,Profitability,Noun,The state or condition of yielding a financial profit.,ความสามารถในการทำกำไร,The company's profitability has improved this year.<br>We need to analyze the profitability of the new product line.<br>The board is concerned about the lack of profitability., - , - , - ,intermediate,medium
9,Prognosis,Noun,A forecast of the likely course of a disease or ailment.,การพยากรณ์โรค,The doctor gave him a good prognosis after the surgery.<br>The prognosis for a full recovery is excellent.<br>The patient’s prognosis is still uncertain., - , - ,prognostic, advanced,low
13,Program,Noun,A set of instructions written in a computer language to perform a specific task.,โปรแกรม,I wrote a simple program to calculate the average.<br>The new program is very efficient.<br>The computer is running several programs at once., - , - , - ,intermediate,high
13,Programming,Noun,The action or process of writing computer programs.,การเขียนโปรแกรม,He is studying programming at a technical college.<br>Programming requires a lot of logical thinking.<br>I'm learning a new programming language., - , - , programmer,intermediate,high
7,Proliferate,Verb,To increase rapidly in numbers; multiply.,แพร่หลายอย่างรวดเร็ว,Nuclear weapons continue to proliferate around the world.<br>The problem of fake news is proliferating rapidly.<br>The company's stores have proliferated in recent years., - , - , proliferation, advanced,low
7,Propaganda,Noun,"Information, especially of a biased or misleading nature, used to promote or publicize a particular political cause or point of view.",การโฆษณาชวนเชื่อ,The government used propaganda to control the population.<br>We need to be critical of political propaganda.<br>The media is often used as a tool for propaganda., - , - ,propagate, advanced,low
9,Prosthesis,Noun,"An artificial body part, such as a limb, eye, or heart valve, used to replace a missing one.",อวัยวะเทียม,He received a new prosthesis after the accident.<br>The clinic specializes in fitting patients with a prosthesis.<br>The design of the prosthesis is very advanced., - , - ,prosthetic, advanced,low
9,Prosthetic,Adjective,(Of an artificial body part) attached to or used in place of a missing or defective part of the body.,ซึ่งเป็นแขนขาเทียม,He was fitted with a new prosthetic leg.<br>The hospital specializes in prosthetic limbs.<br>Prosthetic technology has advanced greatly., - , - ,prosthesis, advanced,low
13,Protocol,Noun,A set of rules governing the exchange or transmission of data.,ระเบียบพิธี,The computer network uses a specific protocol to communicate.<br>The new security protocol will be implemented next week.<br>The data transfer follows a standard protocol., - , - ,-,advanced,low
7,Protracted,Adjective,Lasting for a long time or longer than expected or usual.,ยืดเยื้อ,The protracted conflict has led to a humanitarian crisis.<br>The protracted negotiations finally came to an end.<br>The patient suffered from a protracted illness., - , - , protract, advanced,low
9,Psychiatry,Noun,"The study and treatment of mental illness, emotional disturbance, and abnormal behavior.",จิตเวชศาสตร์,She is a student of psychiatry.<br>Psychiatry has made great strides in treating mental health issues.<br>He is seeking help from a psychiatrist., - , - , psychiatrist, advanced,low
2,Public Relations,Phrase,The professional maintenance of a favorable public image.,การประชาสัมพันธ์,The company hired a new public relations firm.<br>Public relations is crucial for managing a company's reputation.<br>He works in public relations for a non-profit organization., - , - , - ,intermediate,medium
3,Qualitative,Adjective,"Relating to, measuring, or measured by the quality of something rather than its quantity.",เชิงคุณภาพ,The study used a qualitative approach to analyze student feedback.<br>We need to do a qualitative assessment of the program.<br>The research is based on qualitative data., - , - ,qualitatively, advanced,medium
3,Quantify,Verb,To express or measure the quantity of something.,ระบุจำนวน,It's hard to quantify the benefits of a good education.<br>The research aims to quantify the results.<br>You need to quantify your findings with numbers., - , - , quantitative,advanced,low
3,Quantitative,Adjective,"Relating to, measuring, or measured by the quantity of something rather than its quality.",เชิงปริมาณ,The report is based on quantitative data.<br>We need a quantitative analysis of the results.<br>The research used a quantitative approach., - , - ,quantitatively, advanced,medium
9,Quarantine,Noun,"A state, period, or place of isolation in which people or animals that have arrived from elsewhere or been exposed to infectious or contagious disease are placed.",การกักกัน,The ship was placed in quarantine due to a viral outbreak.<br>She had to enter a two-week quarantine after her trip.<br>Quarantine is used to prevent the spread of disease., - , - ,quarantine, advanced,high
13,Query,Noun,A request for information from a database.,"คำสั่งเรียกข้อมูล, คำถาม",The search engine processes millions of queries every second.<br>I ran a query to find all the records from last month.<br>The system responds to user queries instantly., - , - , - ,intermediate,high
9,Radiology,Noun,The branch of medicine that uses imaging technology to diagnose and treat diseases.,รังสีวิทยา,The patient went to the radiology department for an X-ray.<br>Radiology is essential for accurate diagnoses.<br>New advances in radiology have made imaging more precise., - , - , radiological, advanced,low
3,Rationale,Noun,A set of reasons or a logical basis for a course of action or a particular belief.,เหตุผล,The rationale behind the new grading system is to reduce stress.<br>He explained the rationale for his decision.<br>What is the rationale for this policy change?, - , - ,rational,advanced,medium
3,Recalibrate,Verb,To adjust or readjust (something) to its previous state or to a new standard.,ปรับใหม่,The teacher had to recalibrate her teaching methods after the feedback.<br>We need to recalibrate our goals.<br>The company decided to recalibrate its strategy., - , - ,recalibration, advanced,low
7,Recede,Verb,To go or move back or further away from a previous position.,ถอยห่าง,The floodwaters are beginning to recede.<br>The fear of an economic recession is beginning to recede.<br>The glaciers are receding due to global warming., - , - , recession, advanced,low
9,Receptor,Noun,"A region of tissue, or a molecule in a cell membrane, that responds specifically to a particular neurotransmitter, hormone, or other substance.",ตัวรับ,The drug works by blocking a specific pain receptor.<br>These cells have receptors for the virus.<br>The brain's receptors respond to the chemical signals., - , - ,-,advanced,low
9,Recover,Verb,"To return to a normal state of health, mind, or strength.","ฟื้นตัว, หายดี",It can take weeks to recover from the flu.<br>The patient is expected to recover fully after the surgery.<br>She is recovering well from her illness., - , - , - , advanced,high
5,Recycling,Noun,The action or process of converting waste into reusable material.,การรีไซเคิล,The city has a new recycling program.<br>Recycling helps reduce waste and conserve resources.<br>The company is committed to recycling all its waste., - , - , - ,intermediate,high
